,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2020,,,,,,
2020,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
161,The Informer,"$300,460 ",283,"$300,460 ",6-Nov,Vertical Entertainment
162,Playing with Fire,"$300,460 ","3,185","$44,451,847 ",8-Nov,Paramount Pictures
163,Save Yourselves!,"$299,914 ",388,"$301,162 ",2-Oct,Bleecker Street Media
164,Judy,"$296,343 ","1,627","$24,313,888 ",27-Sep,Roadside Attractions
165,The Traitor,"$296,027 ",45,"$296,027 ",31-Jan,Sony Pictures Classics
166,Gremlins,"$295,000 ",64,"$295,000 ",10-Jul,-
,2020 Re-release,,,,,
167,How the Grinch Stole Christmas,"$294,000 ",300,"$420,180 ",4-Dec,Universal Pictures
,2020 Re-release,,,,,
168,Mystify: Michael Hutchence,"$289,573 ",597,"$289,573 ",7-Jan,Fathom Events
169,Created Equal: Clarence Thomas in His Own Words,"$282,149 ",53,"$282,149 ",31-Jan,Manifold Productions Inc.
170,Fatman,"$278,376 ",259,"$278,378 ",13-Nov,Saban Films
171,An American in Paris,"$267,824 ",651,"$267,824 ",19-Jan,Fathom Events
,2020 Re-release,,,,,
172,Wonder Woman,"$252,000 ",560,"$252,000 ",11-Dec,Warner Bros.
,2020 Re-release,,,,,
173,Back to the Future,"$247,000 ",258,"$247,000 ",31-Jul,Universal Pictures
,2020 Re-release,,,,,
174,Bohemian Rhapsody,"$240,000 ",-,"$240,000 ",17-Jul,20th Century Fox
,2020 Re-release,,,,,
175,63 Up,"$238,204 ",28,"$483,684 ",27-Nov,BritBox
176,Tokyo Godfathers,"$237,581 ",519,"$237,571 ",9-Mar,Fathom Events
,2020 Re-release,,,,,
177,Blind Eyes Opened,"$234,505 ",534,"$234,505 ",23-Jan,Fathom Events
178,The Climb,"$234,429 ",408,"$234,429 ",13-Nov,Sony Pictures Classics
179,Doctor Who Live Q&A And Screening,"$228,615 ",692,"$228,615 ",5-Jan,Fathom Events
180,CatVideoFest 2020,"$219,698 ",84,"$437,625 ",21-Feb,Oscilloscope
181,Wild Mountain Thyme,"$213,440 ",450,"$213,440 ",11-Dec,Bleecker Street Media
182,The Secrets We Keep,"$207,928 ",471,"$207,928 ",16-Sep,Bleecker Street Media
183,Jiang Ziya,"$206,975 ",55,"$214,670 ",1-Oct,Well Go USA Entertainment
184,Fate/stay night [Heaven's Feel] III. spring song,"$200,000 ",304,"$200,000 ",18-Nov,Fathom Events
185,Ashfall,"$199,575 ",18,"$372,562 ",19-Dec,Capelight Pictures
186,National Theater Live: Cyrano de Bergerac,"$198,352 ",472,"$198,352 ",20-Feb,Fathom Events
,2020 Re-release,,,,,
187,Zombieland: Double Tap,"$192,926 ","3,468","$73,123,082 ",18-Oct,Sony Pictures Releasing
188,Cunningham,"$190,635 ",23,"$265,102 ",13-Dec,Magnolia Pictures
189,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$189,771 ",330,"$190,160 ",12-Feb,Trafalgar Releasing
190,The Outpost,"$186,634 ",81,"$186,635 ",3-Jul,Fathom Events
191,The Wolf of Snow Hollow,"$185,026 ",112,"$185,026 ",9-Oct,United Artists Releasing
192,Come Away,"$183,423 ",475,"$184,477 ",13-Nov,Relativity Media
193,The Good Liar,"$182,779 ","2,454","$17,156,058 ",15-Nov,Warner Bros.
194,And Then We Danced,"$177,262 ",23,"$177,262 ",7-Feb,Music Box Films
195,Beanpole,"$173,162 ",35,"$196,258 ",29-Jan,Kino Lorber
196,Follow Me,"$167,962 ",50,"$167,962 ",18-Sep,Vertical Entertainment
197,Extra Ordinary,"$164,346 ",80,"$164,346 ",6-Mar,Good Deed Entertainment
198,Palm Springs,"$164,000 ",66,"$164,000 ",10-Jul,Neon
199,A Call to Spy,"$158,864 ",79,"$159,014 ",2-Oct,IFC Films
200,Love Story,"$153,504 ",650,"$153,504 ",9-Feb,Fathom Events
,50th Anniversary,,,,,
Rank,,,,,,
Latest Updates: News | Daily | Weekend | All Time | International | Showdowns,,,,,,
Glossary | User Guide | License IMDb Data | Help,,,,,,
BoxOfficeMojo.com by IMDbPro - an IMDb company.,,,,,,
"© IMDb.com, Inc. or its affiliates. All rights reserved. Box Office Mojo and IMDb are trademarks or registered trademarks of IMDb.com, Inc. or its affiliates. Conditions of Use and Privacy Policy under which this service is provided to you.",,,,,,
